AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Age,Complain,Education,Income,Kidhome,Marital_Status,MntFishProducts,MntFruits,MntGoldProds,MntMeatProducts,MntSweetProducts,MntWines,Month,NumCatalogPurchases,NumDealsPurchases,NumStorePurchases,NumWebPurchases,NumWebVisitsMonth,Recency,Segmento,Teenhome,Time_Customer,Year
1,0,0,0,1,51,0,Graduation,92955,0,Married,31,21,84,925,24,693,8,7,1,9,6,2,35,1,0,10.642244536164329,2013
0,0,0,0,0,29,0,Graduation,34824,0,Single,2,2,4,11,0,4,3,0,1,2,1,6,65,2,0,10.042642901633846,2014
0,0,0,0,0,53,0,Master,38196,1,Married,0,0,3,11,0,30,4,0,3,4,2,5,20,2,1,9.97967104047311,2014
0,0,0,0,0,41,0,Master,27100,1,Married,2,0,10,13,0,12,4,0,1,3,1,7,64,2,0,11.014599889114766,2013
0,0,0,1,0,50,0,2n Cycle,65463,1,Married,21,32,16,70,32,391,1,2,2,9,6,5,17,3,0,10.193227787018214,2014
0,0,0,0,0,58,0,Graduation,86358,1,Single,82,47,95,494,47,957,8,3,4,6,5,8,78,0,1,11.671697570792007,2012
0,0,0,0,0,47,0,Graduation,46931,2,Together,3,0,16,17,1,41,4,1,2,3,1,3,94,2,1,9.963243598431179,2014
0,0,0,0,0,35,0,Master,10979,0,Divorced,2,4,4,10,2,8,5,0,2,3,3,5,34,2,0,9.886582202235502,2014
0,0,1,0,0,38,0,Graduation,26576,1,Single,0,0,9,8,0,10,10,0,1,2,1,9,40,2,0,11.490995708330766,2012
0,0,0,0,0,30,0,Graduation,80685,0,Together,34,45,54,604,26,241,8,4,1,10,6,2,55,1,0,11.633366872694168,2012
0,0,0,0,0,55,0,Graduation,81657,0,Single,158,40,50,425,60,364,1,4,1,8,3,1,69,1,0,10.215131043074122,2014
0,0,0,0,0,64,0,Master,47353,0,Married,8,2,4,19,8,184,11,2,3,6,2,5,93,3,1,10.406784533563318,2013
0,0,0,0,0,35,0,Graduation,28691,1,Married,8,4,4,13,0,5,7,0,1,3,1,8,56,2,0,10.7681882584858,2013
1,0,1,0,0,42,0,Master,73450,0,Together,90,51,37,415,69,1142,12,8,1,11,7,3,85,1,0,10.34655057940957,2013
0,0,0,0,0,42,0,Basic,24367,1,Single,0,4,5,2,11,2,3,0,1,2,1,9,58,2,0,11.058406401226582,2013
0,0,0,0,0,49,0,Graduation,33249,1,Single,19,10,42,21,14,6,2,1,2,3,2,6,11,2,0,11.135067797422261,2013
0,0,0,0,0,53,0,Master,33316,1,Single,4,1,12,31,4,79,10,1,3,4,2,6,34,2,1,10.516300813842857,2013
0,0,0,0,0,50,0,Graduation,53034,1,Divorced,15,15,50,196,11,160,5,1,8,7,6,8,30,0,1,10.864015003730398,2013
0,0,0,0,0,69,0,Master,46390,0,Divorced,2,14,38,64,9,95,5,2,1,3,4,7,56,3,1,9.933126621354306,2014
0,0,0,0,0,56,0,Master,63841,0,Divorced,20,15,131,100,7,635,4,3,1,9,9,6,64,3,1,10.97079337700295,2013
0,0,0,0,0,52,0,Graduation,65685,0,Married,0,14,57,49,7,642,3,2,1,9,9,5,54,3,1,10.03442918061288,2014
0,0,0,0,0,71,0,Graduation,37716,0,Married,6,1,41,41,2,97,4,1,2,3,4,7,4,2,1,9.971457319452146,2014
0,0,0,0,0,74,0,Graduation,57045,0,Married,11,13,17,104,13,296,9,2,3,9,4,3,40,3,1,11.586822453575364,2012
0,0,0,0,0,71,0,PhD,36957,1,Divorced,2,2,31,16,1,100,9,2,4,2,3,9,43,2,1,11.59229826758934,2012
0,0,0,0,0,52,0,2n Cycle,65704,0,Single,38,172,246,74,8,279,10,10,1,10,2,1,18,1,0,10.491659650779962,2013
0,0,0,0,0,60,0,Graduation,42523,0,Married,3,36,35,11,26,14,4,1,1,4,1,2,96,2,0,9.965981505438167,2014
0,0,0,0,0,55,0,Graduation,68695,0,Together,106,81,40,356,50,458,6,4,1,7,4,2,3,1,0,9.793493363997891,2014
0,1,1,0,0,69,0,PhD,46015,1,Together,0,0,6,2,0,38,4,0,1,3,1,7,25,2,1,9.993360575508053,2014
0,0,0,0,0,46,0,Graduation,16531,1,Together,7,13,11,6,5,2,6,0,3,3,3,7,43,2,0,9.812658713046812,2014
0,0,1,0,0,49,0,2n Cycle,57036,0,Married,19,43,47,219,14,1171,12,3,4,13,6,9,33,3,1,11.329459194918444,2012
0,0,0,0,0,49,0,Master,46098,1,Single,0,0,36,27,0,57,8,2,4,2,3,8,86,2,1,11.644318500722123,2012
0,0,0,0,0,48,0,Graduation,31859,1,Divorced,8,1,5,3,0,3,6,0,1,2,1,7,77,2,0,10.82294639862557,2013
0,0,0,0,0,44,0,Graduation,34968,1,Married,8,6,2,45,2,158,4,2,7,5,3,7,11,0,0,11.000910354079824,2013
0,0,0,0,0,64,0,Graduation,44512,1,Together,0,1,2,6,0,23,8,0,2,3,1,4,57,2,1,10.612127559087456,2013
0,0,0,0,0,49,0,Graduation,33955,1,Single,23,2,10,128,7,100,8,1,4,5,5,8,92,2,0,10.669623606234214,2013
0,0,0,0,0,35,0,Graduation,81217,0,Single,146,70,84,324,40,493,7,7,1,11,3,1,77,1,0,10.727119653380973,2013
0,0,0,0,0,42,0,PhD,38513,1,Single,16,3,18,115,0,172,1,1,5,5,6,8,20,0,0,10.198703601032191,2014
0,0,0,0,0,45,0,2n Cycle,13533,1,Divorced,8,3,17,8,0,12,3,0,2,3,2,7,45,2,0,11.085785471296468,2013
0,0,0,0,0,48,0,PhD,42473,1,Single,0,1,25,21,4,93,2,1,3,4,2,5,72,2,1,10.143945460892422,2014
0,0,0,0,0,51,0,Graduation,49094,0,Married,11,0,69,38,8,376,9,3,5,6,6,6,6,3,1,11.551229662484515,2012
0,0,1,0,0,50,0,PhD,63159,0,Single,89,34,37,586,86,965,11,5,1,8,3,3,74,1,0,11.428023847170032,2012
1,0,0,0,0,55,0,Master,79734,0,Married,23,8,17,232,62,572,6,3,1,6,4,1,72,1,0,9.785279642976926,2014
0,0,0,0,0,40,0,Graduation,34738,1,Single,3,2,2,10,0,3,5,0,1,3,1,6,51,2,0,9.916699179312374,2014
0,0,0,0,0,43,0,PhD,36038,1,Single,0,0,7,15,2,23,5,0,2,3,3,6,82,2,0,10.86127709672341,2013
1,1,0,1,1,68,0,Graduation,91249,0,Single,71,27,27,119,108,1324,10,9,0,6,7,4,84,1,0,11.471830359281848,2012
0,0,0,0,0,48,0,Graduation,56939,0,Married,90,34,49,103,29,256,9,3,2,10,3,3,19,3,1,10.560107325954673,2013
0,0,0,0,0,68,0,Graduation,58116,0,Married,4,19,51,130,11,228,4,3,2,8,3,2,38,3,1,9.993360575508053,2014
0,0,0,0,0,57,0,PhD,28420,1,Divorced,2,2,0,5,0,4,12,0,1,2,1,6,36,2,0,10.294530346276789,2013
0,0,0,0,0,66,0,Graduation,71964,0,Divorced,180,51,86,932,34,587,5,6,1,5,5,3,81,1,0,10.891394073800283,2013
0,0,0,0,0,38,0,Graduation,39146,1,Single,13,1,12,33,12,94,2,0,3,4,4,8,1,2,0,11.151495239464191,2013
0,0,0,0,0,41,0,Graduation,36790,0,Married,15,3,10,14,21,3,3,1,1,2,2,9,14,2,0,11.110426634359364,2013
0,0,0,0,0,59,0,PhD,71322,0,Married,69,43,204,226,10,753,2,5,2,13,8,4,57,3,1,11.146019425450215,2013
0,0,0,0,0,69,0,Graduation,67225,0,Married,46,35,143,322,7,315,11,2,3,11,7,5,4,3,1,10.371191742472467,2013
0,0,0,0,0,73,0,Graduation,60689,0,Single,63,90,24,216,6,240,6,4,4,10,4,3,23,3,1,10.85853918971642,2013
0,0,0,0,0,43,0,Graduation,29009,1,Married,10,6,2,15,5,6,11,0,2,3,2,6,19,2,0,10.362978021451502,2013
0,0,0,0,0,55,0,Graduation,25293,1,Married,0,0,9,11,2,15,9,1,1,2,1,8,51,2,0,10.56832104697564,2013
0,0,0,0,0,51,0,Graduation,27803,1,Married,38,26,49,46,9,8,8,0,2,4,3,8,40,2,0,11.622415244666215,2012
0,0,0,0,0,58,0,Graduation,61286,0,Married,19,0,117,107,9,356,8,1,2,8,7,5,34,3,1,10.688788955283133,2013
0,0,1,0,0,55,0,Graduation,40590,1,Widow,6,0,37,50,11,154,10,4,5,3,3,6,30,0,1,10.521776627856834,2013
0,0,0,0,0,70,0,Graduation,72071,0,Divorced,150,69,150,300,138,531,2,4,3,8,5,2,4,3,1,11.151495239464191,2013
0,0,0,0,0,46,0,Basic,26487,1,Single,12,8,23,10,14,2,5,1,3,3,2,5,23,2,0,10.891394073800283,2013
0,0,0,0,0,41,0,Master,89616,0,Single,145,47,15,655,111,671,2,5,1,12,7,2,36,1,0,11.121378262387317,2013
0,0,0,0,0,77,0,Graduation,27469,0,Married,3,1,0,2,2,9,8,0,1,3,0,6,2,2,0,11.68812501283394,2012
0,0,0,0,0,29,0,2n Cycle,80617,0,Single,72,51,32,631,55,594,10,6,1,8,4,2,42,1,0,11.493733615337755,2012
0,0,0,0,0,70,0,PhD,52869,1,Married,2,3,21,61,1,84,10,1,3,4,3,7,40,2,1,11.48551989431679,2012
